,MFPTBA,MFPTAB,T
0,55.389144820468225,55.14379761087884,10.0
0,1088.1048797308501,928.4652393345541,0.8333333333333333
0,17113.337184877353,12400.278993727241,0.4347826086956521
0,297127.83203390933,187542.76796630668,0.2941176470588235
0,5378578.870573731,3032633.0422745873,0.2222222222222222
0,98838168.94822031,51100292.36532466,0.17857142857142858
0,1829787098.2148705,889282307.5625287,0.14925373134328357
0,34062463757.5661,15905549739.797274,0.1282051282051282
0,637374827287.9343,291134241261.57947,0.11235955056179775
0,11988261044547.43,5430939647244.056,0.1
